指标类别,指标序号,计算指标预设公式（按指标序号）,同期值是否集团预填,汇总规则,productionMethod,fuelType,businessModel,数据校验规则,项目,"计量
单位",本期计划,同期完成,差异率,2025年10月,,2025年11月,,2025年12月,,2026年1月,,2026年2月,,2026年3月,,2026年4月,,,,,,,,,,,,
,,,,,,,,,,,,,,计划,同期,计划,同期,计划,同期,计划,同期,计划,同期,计划,同期,计划,同期,,,,,,,,,,,
气温,1,,否,"《1集团汇总表》直接引用《2主城区汇总表》
《2主城区汇总表》直接引用《8供热公司表》",,,,,月平均高温,℃,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,否,"《1集团汇总表》直接引用《2主城区汇总表》
《2主城区汇总表》直接引用《8供热公司表》",,,,,月平均低温,℃,,-,,,,,,,,,,,,,,,,,,,,,,,,,,
设备参数,3,,是,求和汇总,thermoelectric,,,,发电机组容量,万kW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,是,求和汇总,boiler_room,,,,燃煤锅炉装机容量,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,是,求和汇总,,electric,,,电锅炉/热泵装机容量,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
产量,6,,是,求和汇总,thermoelectric,,,,发电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,VAL(8)+VAL(9)+VAL(10)+VAL(11)+VAL(12),,,,,,,供热量↓,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,是,求和汇总,,,,,其中：1.供汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,是,求和汇总,thermoelectric,,,,2.高温水供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,是,求和汇总,thermoelectric,,,,3.低真空供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,是,求和汇总,boiler_room,,,,4.低温水供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,是,求和汇总,,electric,,,5.电锅炉/热泵供热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
销量,13,,是,求和汇总,thermoelectric,,,,售电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,是,求和汇总,heating_company,,,,售汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,是,《1集团汇总表》直接引用《2主城区汇总表》,heating_company,,,,关联交易汽量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16,,是,《1集团汇总表》直接引用《2主城区汇总表》,heating_company,,,,关联交易高温水量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,,是,求和汇总,heating_company,,,,期末挂网面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,VAL(19)+VAL(20)+VAL(21)+VAL(22)+VAL(23),,,heating_company,,,,期末供暖收费面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,,否,求和汇总,heating_company,,,,1.汽站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,否,求和汇总,heating_company,,,,2.高温水站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,,否,求和汇总,heating_company,,,,3.低真空站面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,,是,求和汇总,boiler_room,,,,4.低温水供热面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,是,求和汇总,,electric,,,5.电锅炉/热泵面积,㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,,是,求和汇总,heating_company,,,,高温水销售量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
主要物料消耗量,25,VAL(26)+VAL(27),,,,coal,,,生产耗原煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,,是,求和汇总,thermoelectric,coal,,,其中：1.发电耗原煤量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,,是,求和汇总,,coal,,,2.供热耗原煤量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,VAL(29)+VAL(32),,,,coal,,,耗标煤总量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,VAL(30)+VAL(31),,,thermoelectric,coal,,,其中：1.发电耗标煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,,是,求和汇总,thermoelectric,coal,,,1.1煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,,是,求和汇总,thermoelectric,coal,,,1.2油折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,VAL(33)+VAL(34),,,,coal,,,2.供热耗标煤量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,,是,求和汇总,,coal,,,2.1煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,,是,求和汇总,,coal,,,2.2油折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,VAL(30)+VAL(33),,,,coal,,,煤折标煤耗量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,VAL(37)+VAL(38),,,,,,,耗油量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,,是,求和汇总,thermoelectric,,,,其中：1.发电耗油量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,,是,求和汇总,,,,,2.供热耗油量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,,是,求和汇总,,purchased_heat,,,外购热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,VAL(41)+VAL(42)+VAL(45)+VAL(46)+VAL(47),,,,,,,耗水量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,,是,求和汇总,thermoelectric,,,,其中：1.电厂耗水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,VAL(43)+VAL(44),,,thermoelectric,,,,2.电厂一次网补水量↓,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,,否,求和汇总,thermoelectric,,,,2.1高温水首站补水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,,否,求和汇总,thermoelectric,,,,2.2低真空补水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,,是,求和汇总,heating_company,,,,3.换热站补水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,,是,求和汇总,boiler_room,,,,4.燃煤锅炉房耗水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,,是,求和汇总,,electric,,,5.电锅炉/热泵耗水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,,否,求和汇总,,,,,耗自来水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,,否,求和汇总,,,,,耗再生水/井水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,,是,求和汇总,,,,,耗酸量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,,是,求和汇总,,,,,耗碱量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,,是,求和汇总,,,,,耗石灰石量（粗）,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,,是,求和汇总,,,,,耗石灰石粉量（细）,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,,是,求和汇总,,,,,耗氨水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,,是,求和汇总,,,,,耗氧化镁量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,,是,求和汇总,,,,,耗脱硝剂量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,,是,求和汇总,,,,,耗阻垢剂量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,,是,求和汇总,,,,,耗杀菌剂量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,,否,求和汇总,,,,,耗钢球量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,,是,求和汇总,,natural_gas,,,耗天然气量,万m³,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,61,,否,求和汇总,heating_company,,,,站内耗热量,GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,VAL(63)+VAL(68),,,,,,,耗电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,VAL(64)+VAL(65),,,thermoelectric,,,,综合厂用电量↓,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,,是,求和汇总,thermoelectric,,,,其中：1.非生产厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,VAL(66)+VAL(67),,,thermoelectric,,,,2.生产厂用电量↓,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,,是,求和汇总,thermoelectric,,,,2.1发电厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,,是,求和汇总,thermoelectric,,,,2.2供热厂用电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,VAL(69)+VAL(70)+VAL(71)+VAL(72),,,,,,,外购电量↓,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,,是,求和汇总,thermoelectric,,,,其中：1.电厂外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,,是,求和汇总,boiler_room,,,,2.燃煤锅炉房外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,,是,求和汇总,heating_company,,,,3.换热站外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,,是,求和汇总,,electric,,,4.电锅炉/热泵外购电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,,是,求和汇总,,,,,脱硫脱销耗水量,吨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,,是,求和汇总,,,,,脱硫脱硝耗电量,万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比率,75,(VAL(7)+VAL(13)*36)/29.308/VAL(28),,,,,,,生产产出率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,(VAL(13)*36+VAL(14)*2.952+VAL(24)+VAL(61))/29.308/VAL(28),,,,,,,综合产出率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,77,(VAL(7)+VAL(13)*36)/(VAL(28)*29.308),,,,,,,全厂热效率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,78,VAL(7)/(VAL(13)*36),,,thermoelectric,,,,热电比,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,VAL(32)/VAL(28),,,thermoelectric,,,,热分摊比,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80,VAL(6)/VAL(3)/3744,,,thermoelectric,,,,发电设备利用率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,81,VAL(7)*1000/(VAL(4)+VAL(5))/13478400,,,,,,,供热设备利用率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
单耗,82,VAL(63)/VAL(6),,,thermoelectric,,,,综合厂用电率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,83,VAL(66)/VAL(6),,,thermoelectric,,,,发电厂用电率,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84,VAL(67)*10000/VAL(7),,,thermoelectric,,,,供热厂用电率,kWh/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,85,VAL(29)*100/VAL(6),,,thermoelectric,,,,发电标准煤耗率,g/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,86,VAL(29)*100/(VAL(6)-VAL(66)),,,thermoelectric,,,,供电标准煤耗率,g/kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87,VAL(32)*1000/VAL(7),,,,,,,供热标准煤耗率,kg/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,88,(VAL(41)-VAL(8))*(1-VAL(79))/VAL(6),,,thermoelectric,,,,发电水耗率,吨/万kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,89,((VAL(41)-VAL(8))*VAL(79)+VAL(8))/VAL(7),,,,,,,供热水耗率,吨/GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,VAL(61)/VAL(18),,,heating_company,,,,供暖热耗率,GJ/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,(VAL(42)+VAL(45)+VAL(46)+VAL(47))*1000/VAL(18),,,heating_company,,,,供暖水耗率,kg/㎡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
